origin,ground_truth,latency,hops
RIPE,CO,270.321,14.0
RIPE,CO,221.53575,18.25
RIPE,CO,204.508,1.75
RIPE,CO,233.622,9.5
RIPE,CO,239.28125,19.5
RIPE,CO,238.68825,14.25
RIPE,CO,268.22,18.5
RIPE,CO,341.778,9.5
RIPE,CO,256.82325,1.5
RIPE,CR,399.99575,18.5
RIPE,CR,692.28825,1.5
RIPE,CR,484.73775,12.25
RIPE,CR,389.179,12.25
RIPE,CR,439.0545,18.0
RIPE,CR,393.47725,1.5
RIPE,CR,389.04375,12.0
RIPE,CZ,160.1,13.5
RIPE,CZ,254.75425,13.25
RIPE,CZ,257.83325,13.25
RIPE,CZ,181.12275,12.25
RIPE,CZ,271.5575,15.25
RIPE,CZ,175.40975,16.25
RIPE,CZ,120.75125,14.0
RIPE,CZ,89.41825,15.25
RIPE,CZ,80.3565,16.75
RIPE,CZ,51.6925,15.0
RIPE,CZ,42.757,14.25
RIPE,CZ,59.9515,16.5
RIPE,CZ,51.664,12.25
RIPE,CZ,51.148,15.5
RIPE,CZ,46.381,13.5
RIPE,CZ,55.6255,14.25
RIPE,CZ,46.16975,13.0
RIPE,CZ,39.23075,14.5
RIPE,CZ,37.7195,12.0
RIPE,CZ,44.635,16.0
RIPE,CZ,45.57875,16.25
RIPE,CZ,42.16275,13.75
RIPE,CZ,43.1435,13.75
RIPE,CZ,37.426,15.5
RIPE,CZ,58.344,15.5
RIPE,CZ,43.9805,13.0
RIPE,CZ,44.38975,14.5
RIPE,CZ,43.4085,14.5
RIPE,CZ,43.561,16.0
RIPE,CZ,39.92875,15.0
RIPE,CZ,56.592,14.25
RIPE,CZ,46.1925,13.75
RIPE,CZ,44.28075,12.0
RIPE,DE,43.931,19.25
RIPE,DE,31.226,17.25
RIPE,DE,56.25725,19.0
RIPE,DE,39.873,14.0
RIPE,DE,64.49475,17.75
RIPE,DE,43.23825,15.5
RIPE,DE,40.07375,19.25
RIPE,DE,41.29325,12.25
RIPE,DE,37.91675,20.5
RIPE,DE,35.3265,17.0
RIPE,DE,30.89075,20.0
RIPE,DE,38.90725,14.25
RIPE,DE,31.30125,20.25
RIPE,DE,43.949,18.75
RIPE,DE,43.302,14.0
RIPE,DE,42.37775,16.0
RIPE,DE,34.7265,18.0
RIPE,DE,26.8275,20.75
RIPE,DE,32.853,20.0
RIPE,DE,50.6915,18.0
RIPE,DE,45.0355,16.25
RIPE,DE,33.1285,17.75
RIPE,DE,32.491,20.25
RIPE,DE,41.42625,18.25
RIPE,DE,29.569,14.5
RIPE,DE,47.442,16.0
RIPE,DE,73.944,10.0
RIPE,DE,39.12925,17.5
RIPE,DE,35.90125,14.0
RIPE,DE,43.78625,17.25
RIPE,DE,69.09525,12.75
RIPE,DE,65.0505,16.25
RIPE,DE,35.6505,18.5
RIPE,DE,39.47975,15.75
RIPE,DE,36.243,16.0
RIPE,DE,32.47875,17.0
RIPE,DE,52.05025,16.0
RIPE,DE,28.625,19.0
RIPE,DE,38.87275,14.0
RIPE,DE,55.065,13.25
RIPE,DE,37.08475,15.25
RIPE,DE,34.355,12.75
RIPE,DE,32.652,20.0
RIPE,DE,62.52425,14.0
RIPE,DE,48.60975,18.25
RIPE,DE,35.12725,16.25
RIPE,DE,33.205,17.75
RIPE,DE,41.343,12.5
RIPE,DE,33.28625,12.75
RIPE,DE,33.2085,17.5
